НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR076635,4025-09-25 15:02:08,2,CR094847,4025-10-07 15:14:23,200.0
CR076640,4025-09-25 15:22:48,2,CR094766,4025-10-06 16:52:52,14562.0
CR076640,4025-09-25 15:22:48,2,CR095214,4025-10-15 16:25:56,1195.0
CR076654,4025-09-26 09:16:57,2,CR096417,4025-11-04 16:02:24,2500.0
CR076654,4025-09-26 09:16:57,2,CR096421,4025-11-04 16:02:54,148900.0
CR076655,4025-09-26 09:21:42,2,CR094670,4025-10-06 12:56:24,54545.57
CR076655,4025-09-26 09:21:42,2,CR094671,4025-10-06 12:56:43,10389.63
CR076660,4025-09-26 10:10:51,2,CR096441,4025-10-31 00:00:00,0.0
CR076660,4025-09-26 10:10:51,2,CR096442,4025-10-31 00:00:00,1145.0
CR076672,4025-09-26 10:50:00,2,CR096468,4025-10-22 00:00:00,194.0
CR076672,4025-09-26 10:50:00,2,CR095622,4025-10-22 13:52:53,5908.0
CR076675,4025-09-26 11:04:29,2,CR095284,4025-10-16 13:40:22,10013.0
CR076675,4025-09-26 11:04:29,2,CR096577,4025-10-31 00:00:00,0.0
CR076678,4025-09-26 11:13:00,2,CR099625,4025-12-16 16:20:12,8105.0
CR076678,4025-09-26 11:13:00,2,CR100848,4026-01-05 10:07:40,4305.0
CR076681,4025-09-26 11:41:19,2,CR101168,4026-01-08 13:01:03,24690.5
CR076681,4025-09-26 11:41:19,2,CR102347,4026-01-30 00:00:00,0.0
CR076711,4025-09-26 16:26:48,2,CR095533,4025-10-21 14:28:49,4238.7
CR076711,4025-09-26 16:26:48,2,CR095534,4025-10-21 14:28:50,966.5
CR076712,4025-09-26 16:37:18,2,CR094358,4025-10-02 11:04:46,600.0
CR076712,4025-09-26 16:37:18,2,CR096337,4025-10-31 00:00:00,2580.61
CR076716,4025-09-29 08:44:02,2,CR095971,4025-10-28 15:21:21,270.0
CR076716,4025-09-29 08:44:02,2,CR095972,4025-10-28 15:21:24,421.0
CR076717,4025-09-29 09:09:47,2,CR099620,4025-12-16 16:05:52,300.0
CR076717,4025-09-29 09:09:47,2,CR099621,4025-12-16 16:05:56,550.0
CR076720,4025-09-29 09:32:15,2,CR096573,4025-10-31 00:00:00,2595.0
CR076720,4025-09-29 09:32:15,2,CR096574,4025-11-05 13:22:50,114.35
CR076722,4025-09-29 09:34:57,2,CR095541,4025-10-21 14:39:23,1132.4
CR076722,4025-09-29 09:34:57,2,CR095542,4025-10-21 14:39:23,4130.0
CR076730,4025-09-29 10:26:34,2,CR095860,4025-10-27 16:00:29,124425.0
CR076730,4025-09-29 10:26:34,2,CR095969,4025-10-28 15:20:11,1535.0
CR076731,4025-09-29 10:44:41,2,CR094896,4025-10-07 18:03:22,2200.0
CR076731,4025-09-29 10:44:41,2,CR095017,4025-10-10 12:10:15,200.0
CR076737,4025-09-29 11:06:56,2,CR094904,4025-10-07 19:14:33,12000.0
CR076737,4025-09-29 11:06:56,2,CR094905,4025-10-07 19:14:36,100.0
CR076744,4025-09-17 20:56:48,2,CR094763,4025-09-17 00:00:00,0.0
CR076744,4025-09-17 20:56:48,2,CR094764,4025-09-17 00:00:00,1900.0
CR076778,4025-09-29 12:02:47,2,CR096451,4025-10-31 00:00:00,0.0
CR076778,4025-09-29 12:02:47,2,CR096452,4025-10-31 00:00:00,3223.0
CR076790,4025-09-29 13:54:33,2,CR095583,4025-10-22 09:53:16,292414.6
CR076790,4025-09-29 13:54:33,2,CR096370,4025-10-30 17:23:17,250.0
CR076792,4025-09-29 13:56:43,2,CR094973,4025-10-09 14:44:13,63910.0
CR076792,4025-09-29 13:56:43,2,CR094974,4025-10-09 14:44:50,36520.0
CR076793,4025-09-29 13:57:31,2,CR095760,4025-10-24 14:23:37,293452.72
CR076793,4025-09-29 13:57:31,2,CR097251,4025-11-14 17:12:19,300.0
CR076797,4025-09-29 13:59:55,2,CR097195,4025-11-14 09:58:47,325158.02
CR076797,4025-09-29 13:59:55,2,CR098014,4025-11-27 09:11:26,250.0
CR076800,4025-09-29 14:03:37,2,CR095309,4025-10-16 16:00:25,287213.03
CR076800,4025-09-29 14:03:37,2,CR095919,4025-10-28 09:03:01,250.0
CR076802,4025-09-29 14:08:54,2,CR094933,4025-10-08 16:11:35,495899.8
CR076802,4025-09-29 14:08:54,2,CR095917,4025-10-28 09:01:32,150.0
CR076805,4025-09-29 14:20:27,2,CR095082,4025-10-13 15:31:51,380693.29
CR076805,4025-09-29 14:20:27,2,CR095402,4025-10-17 17:50:30,300.0
CR076808,4025-09-29 14:23:44,2,CR095090,4025-10-13 17:41:39,267788.06
CR076808,4025-09-29 14:23:44,2,CR095912,4025-10-28 08:57:24,300.0
CR076837,4025-09-30 09:14:15,2,CR095111,4025-10-14 11:14:10,14280.0
CR076837,4025-09-30 09:14:15,2,CR096637,4025-11-05 16:43:53,50.0
CR076844,4025-10-13 00:00:00,2,CR096250,4025-10-31 00:00:00,1890.0
CR076844,4025-10-13 00:00:00,2,CR096251,4025-10-31 00:00:00,0.0
CR076875,4025-09-30 14:52:30,2,CR094372,4025-09-30 00:00:00,0.0
CR076875,4025-09-30 14:52:30,2,CR094373,4025-09-30 00:00:00,40.0
CR076900,4025-09-30 17:40:12,2,CR095400,4025-10-17 17:37:59,0.0
CR076900,4025-09-30 17:40:12,2,CR095401,4025-10-17 17:38:48,350.0
CR076911,4025-09-30 17:40:19,2,CR094544,4025-09-30 00:00:00,0.0
CR076911,4025-09-30 17:40:19,2,CR094546,4025-09-30 00:00:00,1900.0
CR076929,4025-10-07 23:59:59,2,CR095314,4025-10-15 17:10:34,62923.12
CR076929,4025-10-07 23:59:59,2,CR095351,4025-10-16 00:00:00,0.0
CR076989,4025-10-01 14:59:12,2,CR094583,4025-10-06 09:14:59,2830.0
CR076989,4025-10-01 14:59:12,2,CR096571,4025-10-31 00:00:00,0.0
CR076991,4025-09-30 00:00:00,2,CR096218,4025-10-31 17:42:02,0.0
CR076991,4025-09-30 00:00:00,2,CR096219,4025-10-31 17:42:06,200.0
CR077001,4025-10-01 16:48:49,2,CR095115,4025-10-14 11:43:47,90765.08
CR077001,4025-10-01 16:48:49,2,CR096353,4025-10-28 22:35:43,250.0
CR077013,4025-10-02 08:09:20,2,CR096761,4025-11-06 12:09:22,1300.0
CR077013,4025-10-02 08:09:20,2,CR096762,4025-11-06 12:09:32,10000.0
CR077015,4025-10-02 08:34:43,2,CR095718,4025-10-08 10:24:48,3430.0
CR077015,4025-10-02 08:34:43,2,CR096505,4025-10-31 00:00:00,200.0
CR077024,4025-10-02 12:30:20,2,CR101240,4026-01-09 13:04:48,1500.0
CR077024,4025-10-02 12:30:20,2,CR102305,4026-01-30 15:03:30,2394.0
CR077041,4025-10-02 14:38:49,2,CR095798,4025-10-27 09:23:18,422400.0
CR077041,4025-10-02 14:38:49,2,CR095810,4025-10-27 10:25:23,8250.0
CR077043,4025-10-02 15:11:41,2,CR097258,4025-11-17 09:22:34,290700.34
CR077043,4025-10-02 15:11:41,2,CR098009,4025-11-27 09:07:51,150.0
CR077047,4025-10-02 15:45:48,2,CR095216,4025-10-15 16:34:10,24117.7
CR077047,4025-10-02 15:45:48,2,CR095217,4025-10-15 16:35:00,53058.94
CR077068,4025-12-18 00:00:00,2,CR100028,4025-12-23 11:00:31,254168.37
CR077068,4025-12-18 00:00:00,2,CR100816,4025-12-30 18:47:19,250.0
CR077070,4025-10-03 08:22:40,2,CR094906,4025-10-07 19:15:51,7500.0
